"primary_type","community_area","count"
"BURGLARY","45","2289"
"PUBLIC PEACE VIOLATION","49","914"
"WEAPONS VIOLATION","37","466"
"CRIMINAL SEXUAL ASSAULT","21","41"
"BATTERY","0735","19"
"ASSAULT","0724","8"
"STALKING","70","45"
"OFFENSE INVOLVING CHILDREN","41","259"
"ASSAULT","1522","13"
"STALKING","40","44"
"DECEPTIVE PRACTICE","59","1118"
"INTERFERENCE WITH PUBLIC OFFICER","75","137"
"PUBLIC PEACE VIOLATION","23","1341"
"STALKING","44","145"
"WEAPONS VIOLATION","3","566"
"BATTERY","0312","44"
"ROBBERY","007","121"
"CONCEALED CARRY LICENSE VIOLATION","28","22"
"DECEPTIVE PRACTICE","36","669"
"ARSON","71","311"
"CRIMINAL TRESPASS","34","1108"
"BATTERY","1122","47"
"BATTERY","1231","18"
"ASSAULT","1532","6"
"INTERFERENCE WITH PUBLIC OFFICER","1","304"
"BATTERY","1412","9"
"STALKING","52","28"
"ASSAULT","0621","12"
"PUBLIC PEACE VIOLATION","14","500"
"ARSON","24","335"
"LIQUOR LAW VIOLATION","25","567"
"INTERFERENCE WITH PUBLIC OFFICER","6","169"
"CONCEALED CARRY LICENSE VIOLATION","49","21"
"OBSCENITY","73","6"
"INTERFERENCE WITH PUBLIC OFFICER","59","46"
"OBSCENITY","75","11"
"CONCEALED CARRY LICENSE VIOLATION","4","3"
"STALKING","5","41"
"CRIM SEXUAL ASSAULT","35","252"
"INTIMIDATION","38","44"
"PROSTITUTION","67","2174"
"KIDNAPPING","62","36"
"BURGLARY","016","44"
"CRIM SEXUAL ASSAULT","16","291"
"STALKING","37","14"
"CRIM SEXUAL ASSAULT","4","181"
"HOMICIDE","60","45"
"HOMICIDE","10","9"
"PROSTITUTION","58","2214"
"OBSCENITY","42","10"
"GAMBLING","69","335"
"NARCOTICS","018","285"
"GAMBLING","65","27"
"GAMBLING","68","613"
"WEAPONS VIOLATION","003","227"
"PROSTITUTION","44","401"
"INTERFERENCE WITH PUBLIC OFFICER","7","57"
"OTHER OFFENSE","022","242"
"CRIMINAL TRESPASS","005","324"
"GAMBLING","17","39"
"CRIM SEXUAL ASSAULT","77","258"
"INTERFERENCE WITH PUBLIC OFFICER","022","9"
"LIQUOR LAW VIOLATION","12","18"
"CRIM SEXUAL ASSAULT","020","8"
"INTERFERENCE WITH PUBLIC OFFICER","13","20"
"INTERFERENCE WITH PUBLIC OFFICER","019","3"
"NON-CRIMINAL","43","1"
"PUBLIC INDECENCY","65","3"
"INTERFERENCE WITH PUBLIC OFFICER","002","4"
"OTHER NARCOTIC VIOLATION","25","2"
"CONCEALED CARRY LICENSE VIOLATION","14","3"
"NON-CRIMINAL","55","1"
"NON-CRIMINAL","7","1"
"PUBLIC INDECENCY","62","1"
"BATTERY","0634","29"
"THEFT","37","4233"
"MOTOR VEHICLE THEFT","69","8407"
"THEFT","26","14366"
"CRIMINAL DAMAGE","6","14257"
"THEFT","69","24645"
"CRIMINAL TRESPASS","76","3566"
"ROBBERY","2","2922"
"BATTERY","18","2673"
"BATTERY","55","2770"
"CRIMINAL SEXUAL ASSAULT","38","68"
"CRIMINAL DAMAGE","28","19993"
"OTHER OFFENSE","28","10607"
"BATTERY","7","9437"
"WEAPONS VIOLATION","26","2814"
"CRIMINAL DAMAGE","30","13859"
"MOTOR VEHICLE THEFT","30","6061"
"MOTOR VEHICLE THEFT","60","2169"
"MOTOR VEHICLE THEFT","58","4512"
"BURGLARY","19","9066"
"ROBBERY","38","4254"
"OTHER OFFENSE","4","3483"
"KIDNAPPING","58","91"
"BURGLARY","17","3516"
"MOTOR VEHICLE THEFT","70","3479"
"CRIMINAL DAMAGE","40","8195"
"ASSAULT","52","2631"
"MOTOR VEHICLE THEFT","37","1092"
"ASSAULT","0512","11"
"CRIMINAL TRESPASS","48","720"
"THEFT","58","10437"
"ROBBERY","5","942"
"WEAPONS VIOLATION","34","266"
"NARCOTICS","75","3907"
"SEX OFFENSE","1","574"
"WEAPONS VIOLATION","52","591"
"CONCEALED CARRY LICENSE VIOLATION","67","46"
"SEX OFFENSE","7","442"
"CRIMINAL TRESPASS","51","1280"
"CRIMINAL TRESPASS","14","1378"
"OFFENSE INVOLVING CHILDREN","74","262"
"CRIMINAL TRESPASS","47","174"
"BATTERY","2512","22"
"PUBLIC PEACE VIOLATION","43","1099"
"BATTERY","1934","14"
"OFFENSE INVOLVING CHILDREN","32","184"
"CRIMINAL SEXUAL ASSAULT","71","152"
"NON-CRIMINAL","8","14"
"INTERFERENCE WITH PUBLIC OFFICER","53","394"
"CRIMINAL SEXUAL ASSAULT","59","24"
"BATTERY","2533","23"
"PUBLIC PEACE VIOLATION","15","460"
"ARSON","53","271"
"INTERFERENCE WITH PUBLIC OFFICER","71","734"
"PUBLIC PEACE VIOLATION","66","1577"
"HOMICIDE","45","72"
"BATTERY","2511","17"
"ASSAULT","2514","2"
"ASSAULT","1512","5"
"CONCEALED CARRY LICENSE VIOLATION","15","6"
"STALKING","19","59"
"BATTERY","0511","42"
"DECEPTIVE PRACTICE","019","61"
"INTERFERENCE WITH PUBLIC OFFICER","33","107"
"OBSCENITY","66","20"
"ARSON","63","235"
"LIQUOR LAW VIOLATION","26","147"
"ARSON","1","102"
"ARSON","55","60"
"OBSCENITY","32","14"
"ASSAULT","1632","1"
"ASSAULT","2222","2"
"ASSAULT","0612","2"
"DECEPTIVE PRACTICE","0123","1"
"ASSAULT","0234","5"
"ASSAULT","1223","3"
"PROSTITUTION","27","3193"
"PUBLIC PEACE VIOLATION","57","111"
"HOMICIDE","19","148"
"PROSTITUTION","49","1409"
"CRIMINAL TRESPASS","008","477"
"CRIM SEXUAL ASSAULT","22","496"
"BATTERY","017","1889"
"PUBLIC PEACE VIOLATION","","2882"
"NARCOTICS","010","555"
"CRIMINAL DAMAGE","022","680"
"CRIMINAL DAMAGE","019","374"
"OTHER OFFENSE","002","268"
"OBSCENITY","61","15"
"CRIMINAL TRESPASS","022","511"
"NARCOTICS","009","514"
"NARCOTICS","006","437"
"WEAPONS VIOLATION","014","137"
"SEX OFFENSE","025","82"
"OTHER NARCOTIC VIOLATION","46","3"
"PROSTITUTION","70","41"
"HUMAN TRAFFICKING","28","6"
"CRIM SEXUAL ASSAULT","022","18"
"GAMBLING","10","13"
"ARSON","019","8"
"ASSAULT","1131","3"
"ARSON","024","3"
"PROSTITUTION","004","2"
"RITUALISM","005","1"
"OBSCENITY","017","3"
"NON-CRIMINAL","29","4"
"LIQUOR LAW VIOLATION","003","9"
"ASSAULT","1111","1"
"ASSAULT","2532","2"
"PUBLIC INDECENCY","27","2"
"OTHER NARCOTIC VIOLATION","38","1"
"HUMAN TRAFFICKING","38","2"
"NON-CRIMINAL","1","2"
"MOTOR VEHICLE THEFT","0","2"
"INTERFERENCE WITH PUBLIC OFFICER","024","2"
"HUMAN TRAFFICKING","73","1"
"NON - CRIMINAL","27","1"
"NON-CRIMINAL","11","2"
"PUBLIC INDECENCY","014","1"
"OBSCENITY","001","1"
"ASSAULT","1614","1"
"BATTERY","1711","1"
"CRIMINAL DAMAGE","38","10440"
"OTHER OFFENSE","30","9147"
"BATTERY","28","28988"
"BURGLARY","59","1956"
"WEAPONS VIOLATION","29","4342"
"MOTOR VEHICLE THEFT","20","2831"
"BATTERY","54","8644"
"MOTOR VEHICLE THEFT","72","1036"
"CRIMINAL TRESPASS","50","767"
"BATTERY","22","20874"
"THEFT","29","25108"
"NARCOTICS","38","9677"
"ASSAULT","56","3031"
"ROBBERY","48","2006"
"ROBBERY","30","4913"
"OFFENSE INVOLVING CHILDREN","39","321"
"BATTERY","0715","16"
"WEAPONS VIOLATION","69","3521"
"ROBBERY","6","5336"
"LIQUOR LAW VIOLATION","43","135"
"BATTERY","1834","81"
"ASSAULT","76","1625"
"CONCEALED CARRY LICENSE VIOLATION","23","15"
"BURGLARY","72","2213"
"BURGLARY","44","9140"
"ASSAULT","34","1366"
"MOTOR VEHICLE THEFT","004","3640"
"CRIMINAL SEXUAL ASSAULT","6","194"
"CRIMINAL SEXUAL ASSAULT","30","129"
"SEX OFFENSE","31","380"
"MOTOR VEHICLE THEFT","007","605"
"NARCOTICS","39","1804"
"OFFENSE INVOLVING CHILDREN","53","1139"
"BURGLARY","37","790"
"ROBBERY","13","519"
"SEX OFFENSE","41","200"
"CRIMINAL SEXUAL ASSAULT","2","81"
"INTERFERENCE WITH PUBLIC OFFICER","43","610"
"SEX OFFENSE","53","370"
"BATTERY","0623","23"
"ARSON","13","38"
"CRIMINAL TRESPASS","55","318"
"ASSAULT","1511","5"
"SEX OFFENSE","51","124"
"BATTERY","1215","4"
"ROBBERY","76","181"
"BATTERY","2424","6"
"LIQUOR LAW VIOLATION","7","398"
"BATTERY","0414","55"
"MOTOR VEHICLE THEFT","003","2583"
"LIQUOR LAW VIOLATION","29","232"
"LIQUOR LAW VIOLATION","52","77"
"PUBLIC PEACE VIOLATION","47","70"
"LIQUOR LAW VIOLATION","55","29"
"SEX OFFENSE","45","104"
"BATTERY","0726","13"
"ASSAULT","2524","3"
"PROSTITUTION","57","552"
"INTIMIDATION","14","50"
"ARSON","75","73"
"SEX OFFENSE","12","47"
"OBSCENITY","10","7"
"ROBBERY","025","86"
"INTERFERENCE WITH PUBLIC OFFICER","63","134"
"ASSAULT","0813","7"
"PUBLIC PEACE VIOLATION","022","507"
"THEFT","014","617"
"LIQUOR LAW VIOLATION","75","60"
"HOMICIDE","","380"
"HOMICIDE","15","46"
"HOMICIDE","36","27"
"ARSON","33","35"
"CRIM SEXUAL ASSAULT","18","42"
"PUBLIC PEACE VIOLATION","008","436"
"ASSAULT","1732","1"
"THEFT","003","1256"
"ASSAULT","016","655"
"GAMBLING","61","385"
"ROBBERY","016","29"
"GAMBLING","45","29"
"OFFENSE INVOLVING CHILDREN","025","66"
"GAMBLING","6","18"
"INTERFERENCE WITH PUBLIC OFFICER","12","12"
"GAMBLING","020","3"
"PROSTITUTION","9","6"
"GAMBLING","010","8"
"OTHER NARCOTIC VIOLATION","77","1"
"OTHER NARCOTIC VIOLATION","33","2"
"PUBLIC INDECENCY","37","1"
"PROSTITUTION","72","2"
"STALKING","004","6"
"NON-CRIMINAL","3","5"
"STALKING","002","4"
"OBSCENITY","006","2"
"HUMAN TRAFFICKING","29","3"
"KIDNAPPING","020","2"
"NON-CRIMINAL","73","1"
"NON-CRIMINAL","12","2"
"NON-CRIMINAL","75","2"
"PUBLIC INDECENCY","29","2"
"ASSAULT","1214","1"
"OTHER NARCOTIC VIOLATION","61","1"
"HUMAN TRAFFICKING","1","1"
"HUMAN TRAFFICKING","54","1"
