"primary_type","community_area","count"
"ASSAULT","0723","11"
"BATTERY","0723","23"
"MOTOR VEHICLE THEFT","18","1202"
"BATTERY","0131","34"
"MOTOR VEHICLE THEFT","005","2498"
"BATTERY","0622","15"
"ASSAULT","2031","3"
"CRIMINAL SEXUAL ASSAULT","75","26"
"ASSAULT","1832","5"
"HOMICIDE","67","511"
"HOMICIDE","46","312"
"HOMICIDE","54","94"
"INTERFERENCE WITH PUBLIC OFFICER","56","78"
"HOMICIDE","14","80"
"OFFENSE INVOLVING CHILDREN","27","718"
"SEX OFFENSE","69","547"
"PUBLIC PEACE VIOLATION","21","383"
"BATTERY","0132","15"
"BATTERY","1531","32"
"SEX OFFENSE","48","98"
"ASSAULT","0734","5"
"ASSAULT","1914","7"
"CONCEALED CARRY LICENSE VIOLATION","61","9"
"CRIMINAL TRESPASS","70","1136"
"OFFENSE INVOLVING CHILDREN","65","520"
"SEX OFFENSE","76","142"
"BATTERY","0921","14"
"BATTERY","1013","16"
"INTERFERENCE WITH PUBLIC OFFICER","3","184"
"INTIMIDATION","69","81"
"STALKING","45","29"
"BATTERY","2022","4"
"CRIMINAL DAMAGE","011","731"
"ASSAULT","2213","5"
"OBSCENITY","67","11"
"BATTERY","019","1220"
"INTIMIDATION","35","50"
"ASSAULT","1634","3"
"PUBLIC PEACE VIOLATION","58","714"
"BATTERY","0523","17"
"ASSAULT","2413","1"
"ASSAULT","1621","1"
"CRIM SEXUAL ASSAULT","8","761"
"OBSCENITY","49","13"
"HOMICIDE","55","16"
"LIQUOR LAW VIOLATION","2","218"
"INTIMIDATION","17","28"
"BATTERY","024","1060"
"OBSCENITY","23","14"
"OTHER OFFENSE","015","137"
"NARCOTICS","002","540"
"SEX OFFENSE","007","71"
"NARCOTICS","014","185"
"GAMBLING","12","13"
"KIDNAPPING","22","124"
"PUBLIC PEACE VIOLATION","001","105"
"OTHER NARCOTIC VIOLATION","13","7"
"LIQUOR LAW VIOLATION","004","35"
"ARSON","010","11"
"CRIM SEXUAL ASSAULT","009","15"
"STALKING","017","2"
"LIQUOR LAW VIOLATION","007","6"
"PROSTITUTION","41","4"
"GAMBLING","9","4"
"LIQUOR LAW VIOLATION","025","26"
"OFFENSE INVOLVING CHILDREN","020","16"
"PROSTITUTION","45","15"
"PUBLIC INDECENCY","7","8"
"ASSAULT","1624","4"
"NON-CRIMINAL","71","2"
"CONCEALED CARRY LICENSE VIOLATION","59","7"
